Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
3,"Z Remscrim","The theory and application of non-intrusive load monitoring",2010,"Master's thesis. MIT","","","https://scholar.google.com/scholar?cites=10800539099952805862&as_sdt=2005&sciodt=0,5&hl=en",321,"2020-01-11 17:36:20","CITATION","","","",,,,,3,0.30,3,1,10
1,"GV Bredariol","The shipboard automatic watchstander (saw): Utilization of nonintrusive load monitoring for shipboard automation",2017,"","dspace.mit.edu","https://dspace.mit.edu/handle/1721.1/111940","https://scholar.google.com/scholar?cites=17783726605222385094&as_sdt=2005&sciodt=0,5&hl=en",72,"2020-01-11 17:36:20","","","","",,,,,1,0.33,1,1,3
4,"L Carmichael, J Kelly, H Dominguez","The beta test of a non-intrusive load monitoring system",1996,"1996 DA/DSM Proceedings","","","https://scholar.google.com/scholar?cites=15892876569448335457&as_sdt=2005&sciodt=0,5&hl=en",319,"2020-01-11 17:36:20","CITATION","","","",,,,,4,0.17,1,3,24
0,"C Hong, K Park","The Nonintrusive Appliance Load Monitoring using Real and Reactive Powers",2019,"디지털콘텐츠학회논문지 (J. DCS)","journal.dcs.or.kr","http://journal.dcs.or.kr/xml/18135/18135.pdf","",122,"2020-01-11 17:36:20","PDF","","","",,,,,0,0.00,0,2,1
0,"TJ Kane","The NILM Dashboard: watchstanding and real-time fault detection using Non-intrusive Load Monitoring",2019,"","dspace.mit.edu","https://dspace.mit.edu/handle/1721.1/122320","",447,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,1
186,"C Beckel, W Kleiminger, R Cicchetti, T Staake, ...","The ECO data set and the performance of non-intrusive load monitoring algorithms",2014,"Proceedings of the 1st …","dl.acm.org","https://dl.acm.org/citation.cfm?id=2674064","https://scholar.google.com/scholar?cites=6717214458962576488&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-01-11 17:36:20","","","","",,,,,186,31.00,37,5,6
0,"C Krull, M Thiel, G Horton","Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring",2018,"Electronic Notes in Theoretical Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1571066118300410","",477,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,3,2
9,"P Klein, J Merckle, D Benyoucef, ...","Test bench and quality measures for non-intrusive load monitoring algorithms",2013,"IECON 2013-39th Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6699946/","https://scholar.google.com/scholar?cites=13852321071351781603&as_sdt=2005&sciodt=0,5&hl=en",103,"2020-01-11 17:36:20","","","","",,,,,9,1.29,2,4,7
39,"A Gupta, V Garud, U Rodney, S Bapat","Systems and methods for improving the accuracy of appliance level disaggregation in non-intrusive appliance load monitoring techniques",2017,"US Patent 9,612,286","Google Patents","https://patents.google.com/patent/US9612286B2/en","https://scholar.google.com/scholar?cites=18098067595056036620&as_sdt=2005&sciodt=0,5&hl=en",106,"2020-01-11 17:36:20","","","","",,,,,39,13.00,10,4,3
1,"S Henriet, U Simsekli, G Richard, ...","Synthetic dataset generation for non-intrusive load monitoring in commercial buildings",2017,"Proceedings of the 4th …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3141458","https://scholar.google.com/scholar?cites=11027345370652779474&as_sdt=2005&sciodt=0,5&hl=en",250,"2020-01-11 17:36:20","","","","",,,,,1,0.33,0,4,3
6,"C Shin, S Joo, J Yim, H Lee, T Moon, W Rhee","Subtask gated networks for non-intrusive load monitoring",2019,"Proceedings of the AAAI …","aaai.org","https://www.aaai.org/ojs/index.php/AAAI/article/view/3908","https://scholar.google.com/scholar?cites=769970397796415013&as_sdt=2005&sciodt=0,5&hl=en",132,"2020-01-11 17:36:20","","","","",,,,,6,6.00,1,6,1
0,"S WANG, Z BI","Study on Non-Intrusive Load Monitoring Technology",2017,"Journal of Shanghai University of Electric Power","en.cnki.com.cn","http://en.cnki.com.cn/Article_en/CJFDTotal-DYXY201704010.htm","",309,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,2,3
0,"VA Amenta","Study of an innovative non intrusive load monitoring system for energy emancipation of domestic users: hardware and ICT optimized solutions",2017,"","archivia.unict.it","http://archivia.unict.it:8080/handle/10761/3641","",522,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,3
0,"ST Atmaja, A Halim","Steady State Modification Method Based On Backpropagation Neural Network For Non-Intrusive Load Monitoring (NILM)",2018,"MATEC Web of Conferences","matec-conferences.org","https://www.matec-conferences.org/articles/matecconf/abs/2018/77/matecconf_iciee2018_02013/matecconf_iciee2018_02013.html","",389,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,2,2
14,"A Adabi, P Mantey, E Holmegaard, ...","Status and challenges of residential and industrial non-intrusive load monitoring",2015,"… IEEE Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7314344/","https://scholar.google.com/scholar?cites=17769849014053231856&as_sdt=2005&sciodt=0,5&hl=en",74,"2020-01-11 17:36:20","","","","",,,,,14,2.80,4,4,5
4,"S Houidi, F Auger, HBA Sethom, ...","Statistical assessment of abrupt change detectors for non-intrusive load monitoring",2018,"2018 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8352368/","https://scholar.google.com/scholar?cites=3482932125297408785&as_sdt=2005&sciodt=0,5&hl=en",232,"2020-01-11 17:36:20","","","","",,,,,4,2.00,1,4,2
1,"M Hasan, D Chowdhury, K Hasan, ...","Statistical Features Extraction and Performance Analysis of Supervised Classifiers for Non-Intrusive Load Monitoring.",2019,"Engineering …","search.ebscohost.com","http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=1816093X&AN=139914800&h=eEx5LMi2kNfCH4LN5DwOMqu%2Bxrqk4XbrOAw%2BIj4CIP8GayPv0OSZCrb8j7JN%2B7puxbwRBaoQ6d8V121LNP%2FQ6g%3D%3D&crl=c","https://scholar.google.com/scholar?cites=9264034196276866134&as_sdt=2005&sciodt=0,5&hl=en",276,"2020-01-11 17:36:20","","","","",,,,,1,1.00,0,4,1
2,"A Fuller","Spectral Approaches to Non-Intrusive Load Monitoring",2008,"","… Institute of Technology NE/SM EM …","","https://scholar.google.com/scholar?cites=7011465027905845668&as_sdt=2005&sciodt=0,5&hl=en",453,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.17,2,1,12
0,"X Liu, S Bolwig, PS Nielsen","SmartM: A Non-intrusive Load Monitoring Platform",2019,"International Conference on Business …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-36691-9_36","",315,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,3,1
0,"H Ding","Smart metering data analytics for non-intrusive load monitoring",2019,"","dr.ntu.edu.sg","https://dr.ntu.edu.sg/handle/10356/77297","",310,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,1
8,"WJ Li, X Tan, DHK Tsang","Smart home energy management systems based on non-intrusive load monitoring",2015,"2015 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7436413/","https://scholar.google.com/scholar?cites=10983285813657536807&as_sdt=2005&sciodt=0,5&hl=en",128,"2020-01-11 17:36:20","","","","",,,,,8,1.60,3,3,5
27,"D Benyoucef, P Klein, T Bier","Smart Meter with non-intrusive load monitoring for use in Smart Homes",2010,"2010 IEEE International Energy …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5771810/","https://scholar.google.com/scholar?cites=16953142747181945327&as_sdt=2005&sciodt=0,5&hl=en",47,"2020-01-11 17:36:20","","","","",,,,,27,2.70,9,3,10
4,"M Clark, L Lampe","Single-channel compressive sampling of electrical data for non-intrusive load monitoring",2015,"2015 IEEE Global Conference on Signal …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7418305/","https://scholar.google.com/scholar?cites=615261890766526521&as_sdt=2005&sciodt=0,5&hl=en",179,"2020-01-11 17:36:20","","","","",,,,,4,0.80,2,2,5
